xCell signatures/Sample ID,C3N.02149,C3N.02087,C3L.00368,C3N.00551,C3L.01890,C3N.01799,C3N.01405,C3L.00412,C3N.00579,C3N.01488,C3N.02588,C3N.00293,C3N.00294,C3N.00580,C3N.00549,C3N.02424,C3N.01842,C3L.01924,C3L.00279,C3N.00169,C3L.01889,C3N.02067,C3N.01021,C3N.00574,C3L.00009,C3N.02002,C3N.01413,C3N.01823,C3L.02345,C3N.00552,C3L.00140,C3N.01410,C3N.00433,C3L.02348,C3L.00094,C3L.00510,C3N.01074,C3L.00973,C3N.00547,C3L.00422,C3N.01414,C3L.00093,C3L.00001,C3N.02423,C3N.02587,C3N.00167,C3N.02155,C3N.00550,C3L.01683,C3N.00959,C3N.01489,C3N.01415,C3N.00737,C3N.00560,C3N.00203,C3N.02572,C3L.00144,C3N.00559,X11LU035,C3N.01024,C3L.01632,C3L.01682,C3L.00263,C3N.01071,C3L.02508,C3N.00199,C3L.02219,C3N.00180,C3N.00217,C3N.02000,C3N.01416,C3N.02729,C3N.01016,C3N.00572,X11LU022,C3N.00738,C3L.01330,C3N.02433,C3L.00083,C3N.02089,C3N.00223,C3L.00604,C3N.00546,C3L.00893,C3L.02365,C3L.02549,C3L.00095,C3N.01072,X11LU013,C3N.02422,C3N.02380,C3L.00080,C3N.00175,C3N.02379,C3N.00578,C3N.02158,C3N.02421,C3N.02529,C3L.02350,C3N.02586,C3N.00704,C3N.00556,C3N.02145,C3L.01862,C3N.02003,C3N.01030,C3N.02582,C3N.01023,C3L.00913,X11LU016
Adipocytes,1.46493671653059,-1.5284481671618162,0.8394952308222855,-0.1474817083067911,0.838869415515499,-0.20679600892166916,-1.057412922860089,2.667382831119021,0.9215916889100886,0.36205905606038075,-0.983153561290881,0.6864896739704864,-1.668829563158004,-0.8948933840723147,-0.025343346313068598,-1.8590053592500326,-0.6470098682643335,0.34663997653907974,0.6309957884163545,-0.2688713045877788,1.4250176909620604,0.6249738827539825,0.7716987665705857,1.3513788741269526,0.09794178520982486,-0.4190248212293054,0.42499538345581844,-0.17162571874456398,-2.5892511443643995,0.09370525572226175,1.61088120399756,0.26443943820282423,-0.19741776387685323,0.4824281207546245,0.5028737730889651,-0.6326031466008254,0.6771687118983591,0.20007208286942618,-0.6958087991452164,0.7796331301830857,1.159681746096076,0.7244070211055126,-0.5896052384004713,-1.039454467402154,1.0510407674855986,-0.0064209754941481935,-1.2336210635096674,1.3242861456402646,0.6695508179452265,0.907793350395375,-0.15967797810558693,-0.7092003120255091,0.6731517824807571,0.2896071249547218,-2.110902660495116,-0.2659963383381968,0.6242970923092778,-0.39404073025275743,-0.45887270678591047,-1.237318054805642,0.5226243177258434,0.15566813859981224,0.30731571150286824,-0.14161071578104126,0.9748761796204407,-1.0722642569524041,1.3901559709785924,-1.0160591030575408,-0.989797922056422,-0.4861678971969786,1.4658803203434227,0.2775138525841988,-0.7008054563661764,1.1097262572095539,-1.5817980925942219,1.5796557513426024,0.966917784010625,0.7913870255439357,1.5243242404830832,0.024250240081875842,0.0337838421453166,-0.682197515777567,-0.42859653917685814,0.4147104762807866,-0.3948007783957838,1.2335806988212763,0.6358833708245156,-2.2597402076689566,-0.5790293586659777,-0.39839371881377683,0.6396180452533797,0.4393053936485015,-0.5136435193462969,-2.492468056654489,1.0427814379121625,0.09358037569112145,-0.5709731260815637,-1.5443827733084918,0.8597761643130742,-1.2770862581362865,0.12970747101503521,-1.6631958151059623,0.13642371782875876,0.938616018848267,1.2373919160179645,-0.594892254319985,-1.4754253402045514,-0.5635525618151057,0.20612170153202936,-0.9960923650123706
Astrocytes,0.5535078899707908,0.17837581250941542,-0.38466891508597434,0.9993007330915057,0.0002687828257633315,-1.2215676376750693,-0.8532177500709998,0.6968339025016087,-0.2777765499344963,0.8852791210835569,1.3028839644026782,-0.3075119567471729,-0.3017914926839737,-0.5787427245313522,0.2999248734674986,-0.5368954475670752,0.6074164127903167,-0.625895222614289,1.5074289142377406,1.1031725809689599,-1.6525142239756065,-1.0248827778111127,1.3945703014362938,1.6984961285179387,0.7805816428089264,-1.996093424175783,0.41520702662076364,0.19184497170601617,0.9193877682407136,0.11960543950717215,-2.6515034886258078,-0.35689661327523736,0.7842808390703286,-1.5341158487036344,0.025748986516733432,-2.5989338320019195,-0.783153188850352,-0.4698939342590031,1.16329152499639,-1.6590208320160404,-0.4970031544804003,0.8210412228184025,1.5111684573447175,0.7995119683285585,-1.7649650322255697,0.10292842684006176,0.16472657963542195,-0.9709356538907655,1.6668062394371768,-1.3532669594901277,0.48176606885323614,0.48197309374991276,-0.11865433993604498,0.24962731502792768,-0.6011627691872405,0.4236520044953066,0.393945940186666,-0.060055322282546036,0.483595162019038,-0.1661960670762072,0.83338543561129,-0.048796685385865436,0.16217690095478174,-0.36652452326257967,2.1636495637877893,0.3005260927603241,-0.3397983544832957,0.09987609075343151,-0.014050816548491477,-0.1741755638467672,0.6934109085720417,0.41177459948521516,0.3773571086177922,-0.9316010182171574,1.0217721858491051,1.160078538952604,-1.1304888271249478,0.4459693821807704,2.6000942404024303,-1.9431609174005777,-0.1671940148308187,0.8161323615554504,-0.5030885350169618,-0.9853849066880115,0.22752607282378884,-1.863115374466107,0.5105278391040597,0.6783598266785249,1.3368642540203586,0.017910161544466455,-1.142340572697131,-1.289586648686382,-0.5228012238841103,-0.116792403590126,0.982402613192181,-1.7562616452222155,0.9262790627984118,-0.4263550921297177,-0.6425948119706116,0.34375942696609485,-1.3045017713424967,2.087271612376246,0.7439331359940131,-0.22045227625735314,-0.8985541398733958,0.6599777861968477,-0.31210094786755843,-0.48633300664067786,0.19942537206966165,-0.07522143264823845
B-cells,-0.45935534966941693,0.32462615811042017,-0.5570201620324018,0.1223815949481772,0.2988926878399171,2.7871680819777187,0.014695006118028216,0.9839804945727513,-0.27556570920141504,-0.28833253682263593,-1.0615675603480619,0.5535205576477057,-1.2156605379023457,-1.1938281850972003,-1.5171071428377965,1.6634532391423333,-0.1468038388489152,0.8685803147149824,0.6660336221633057,-1.0993064616786663,-0.9694358384852032,-0.8567364949016804,-0.7529008982538777,-0.47860835375173155,-0.4478788769388767,-0.425165989921525,0.34229829630124897,0.7601101438753315,0.24124737259074716,-0.2498881692427388,-0.5322335586119934,-0.837971037272119,1.705575092615206,0.9738443821582883,0.44447703155694596,-0.7377332929867588,-1.0835517333179376,2.456451597510475,0.12655542319772478,-0.014256426387316258,-0.5334086297818675,0.3324070222566448,0.589448555136335,0.22398186917058088,0.41559733642190294,-0.8246832281607683,-1.317450593749639,0.2096862544243677,1.785982113599533,-0.8600183677593309,0.6874156940683971,0.1539861536012813,2.0587485211807803,-0.4247742406340338,-0.2808392988044748,-0.17329725528378606,2.216064579769728,-0.23108319035751532,-0.7600960458169084,-1.1127366759245534,-1.4517923308119995,0.6736551660418154,2.1585614726268973,-0.14704940638167094,0.6936513761626483,-0.1942509057435033,-0.2114055541162364,-1.692172309139909,-1.030260680430746,1.0013350792627516,-0.18889083008861932,-0.8906606781505881,-0.03219329469494086,0.12024998865402121,-1.0169125646265227,0.8405171204621157,-0.602060486444677,0.6700225210698265,2.834908707055886,-0.3138294630527556,1.180320876460895,-0.2322352329356931,-0.16251048577290325,-0.31684337644869914,-1.6389122250602106,-0.8918976150616286,2.8589298999725847,0.9342320073148513,-0.8195706936171857,-0.16262589046591863,-0.9812722655092644,-0.5685623865255361,0.6090317443571442,-1.0086146308479131,-0.12198904538796043,-0.3521033126458315,-0.9551254770993785,0.5582092250645471,2.062551274444905,-0.7251359363969422,-1.0716981552849043,-0.502390733087271,-1.0812102383511093,0.2484416800606325,0.7539178021053216,-0.18873207867829783,-0.06414208499120704,-0.6099424481421112,0.3049660920107418,-0.5644227330227636
Basophils,-0.1720410151874671,-0.029237149571181495,-0.14270952828638697,-0.4342936666785719,0.24167160576872052,0.6164188242163054,0.141889983278989,1.054310089191914,-0.6478196493214202,0.36307275207302475,-0.48012406658611945,-1.3560856703724402,0.49008929846997673,0.3128352163678533,0.01151109367206699,0.24180146966188068,0.46236238716817873,-0.839154398929533,-1.1715559102781965,1.1445728583570167,-0.05637411273105671,-0.24885768904321245,-0.8162380128443478,-0.07795881499385209,-1.5358246798993398,-0.7425053005203928,0.1706989220415315,-0.044022294407269985,0.003921610291231346,-0.9287266426469134,1.2530008108983017,1.8772549462357084,0.3248239534511558,0.9375846940088416,0.989741310730617,-1.4644471880323295,0.022240544784691892,0.3827573392481681,0.9250917362752158,-0.3700076280321425,1.679478040965316,-1.0627688105016837,-1.232512365023255,-0.1914847947826641,-0.39286055222434774,-1.0697546079164797,0.38266854482627866,-0.6874528591226925,1.137690281233192,-0.2495492549837904,0.16389659092710268,-0.6445221099950601,1.360512911219625,1.4114829305905445,-0.08936600354663433,-0.5701853054602345,0.6929081354980224,-0.7163935968581698,-0.8781779175900611,-0.9384002344543905,0.22612113409515394,1.2835076424919314,0.2672027397728624,0.3251928720665278,-1.604102461360325,0.22300477110857328,-0.395309786732418,0.8927226386293057,0.6839985620209966,-2.0301539038930563,-0.1657738917428476,-1.0796227273278176,0.10806376032935625,-1.0332543974026966,-0.5038164483964707,1.2444936192565275,-0.0240841149516826,-0.520818126461568,4.2028713988019915,1.3936391869077298,0.2666111882559559,-0.503768160310658,0.0026731644480104963,-0.11371358408216212,0.4192816282046699,0.3954642831508513,1.1926944210550572,-0.6863114155511485,-2.1844424277328045,-1.1845116331592498,2.6091687449641263,0.07320211479193102,-0.8368325331094995,-0.7075872292361706,-1.8804319275670953,0.6703806614121848,-1.1135444097584584,0.25067212199850064,2.3334778858944594,-0.9852758281594578,-0.6183557592445841,-0.14632565068804212,-1.2445459907136458,1.2640125188558793,0.3615123735990269,-0.25077742239585454,-0.9880428979008453,0.6769779736609369,1.3520823423505544,-0.4325040708743286
CD4+ T-cells,-1.474377436559546,0.5760460729988631,0.12390107176261236,-1.372402668822738,-0.719724150999234,2.8679859502529133,0.7232478266887651,0.038693422876100024,0.4074868604934933,-0.26700447260661003,-1.679268460476298,0.1656282824720312,-0.5879275739671164,-0.7686442307500944,-0.8968577243494492,0.13728940668305448,-0.881198798924284,1.2745123474709101,0.6006977111991858,-1.414391685609378,-1.0183147172356073,-0.2204839993622412,-0.5223903173696184,-0.5904034018378533,-0.8301814543816846,-0.134931527211774,0.9349486328403543,-0.048513586735055285,-0.09597844981293778,-0.41037273893877435,-0.19083735277573366,-1.0089961393133444,2.9651864429185264,1.1805049052856873,0.18682749217804848,-0.12355639425033911,-1.0759199007847382,1.3380346520461914,-1.1134526742573165,0.14606833307216677,-1.0778602784491362,0.6392773018378687,-0.16752283845796798,1.1544063440460692,0.18970372540926742,-0.4709169637982336,-1.002816757284336,0.06126294497120387,3.853551278837887,0.7481253724261555,0.4224452329596251,-1.0234561708768755,1.0655843882805291,-1.0345682034206007,0.6673708149772521,-0.2156657572835862,0.9943714684810994,0.4758828801518253,-0.8644992981195322,-1.1748887198444902,-1.2037708310627957,2.9144239454902077,2.0980731672790163,-0.47396212776732094,0.2533100182874677,0.157788228914199,0.05340984090041486,-0.9730514839493642,-0.8641417554343402,0.6898720632291035,0.31600301823524235,-0.661573270489528,-0.3511500653694696,-0.04133323179794405,-0.9017122952297972,0.9229180902532744,0.18693915684494092,0.4183157122635426,0.9747586991291,-0.6010809526420784,0.6873595102397532,-0.7793264434176002,-0.12447860939792982,0.07942421012992189,-1.9281009561432296,0.35266524182444464,1.415008568776257,0.23141798423293844,-1.0590014358284003,-0.6033812326694282,-1.0295972907146373,-0.3057815310744315,-0.38335444968577387,-0.10849082268343634,-0.7925775626834591,0.42930980993335327,-0.4267366321436306,0.9739460965179667,2.01660909016202,-0.5751033657438558,-0.026049899473237707,-0.6178042559942166,-0.6403547462511142,0.18262995594351747,1.3985799932492249,-0.1853969944257637,-0.1693061708025132,0.043366333005025674,0.03141548434862354,-0.4616421250654655
CD4+ Tcm,-0.8784314861357521,0.22235932447626194,0.26324181841764,-1.0489893047013845,0.36249765501161574,3.483164538904649,0.8076046343683432,-0.45459541230312955,0.2994173103864154,-0.02004866230875192,-1.8476469261955237,0.8835122405659053,-0.7841244431965593,-0.035169179350416684,-0.43564283932090614,0.6815186950219041,-0.8137894579817514,0.7872883833000458,0.15281277042936098,-1.3185070184887857,-0.7823487325869144,-0.30192864174286194,-0.6981520668252894,-0.7509163174554269,-1.7701401619898303,-0.17255810076298325,0.48956286670418636,-0.1660673349431606,-0.6130549495310817,0.14951431592495854,-0.28607902941633506,-0.4655738144055075,2.0037084440104174,1.6122973617740568,0.4012460988686577,0.47154412979998167,-1.146978047210099,0.6649115795765141,0.5247771590821114,-0.5079179364838099,-0.7927775309661793,-0.47585012520557285,-0.6005415199062247,0.9858392108116852,-0.5193306912604487,0.08380387835788701,-1.3646713923320526,0.11245354642170449,3.975193437213293,0.2300142039289876,0.5872113451375225,-1.3115905128856762,0.9056987133057989,-0.899427585792716,0.7975412838204573,-1.04554906561167,0.8619939177791575,1.0656035105747594,-0.8842183835131718,-0.4095260487567382,-1.9298986430207126,2.5247903975596224,1.7186818130210169,8.039959889076313e-05,-1.2790632294109774,-0.4897444216308423,0.5580947350796037,-0.056367644871115466,-0.6630876038674474,0.37945801923049177,-0.06471968920162528,0.5452626015594351,-0.288808642668991,-0.35275234124874383,-1.5381950787830774,0.8618311533256143,-0.1168336652668681,0.8861489125294949,2.3773602030996477,-1.2349625615090347,0.3693048243097643,-0.6151295277811493,-0.08182770422138999,0.18573733942092355,-0.16894917319753902,-0.5112078188757585,1.3930024320187526,0.8190528107576006,-0.9010367743977264,-0.9282539580466685,0.8099243712826376,-0.19399669625793095,-0.198172748541829,-0.49760079343305325,-0.6757164319883726,0.4661503947064042,-0.18380030427170346,0.5795628002589214,1.65305038703845,0.0318322597950654,-0.9307458776485116,-0.6320419220006749,-0.6724664316578357,-0.879369905643929,1.1285820134792401,-0.15179279233435128,-0.5232307148934202,-0.14433987275168986,-0.13765705557410876,-0.5103274974821667
CD4+ Tem,-1.195148105224202,1.0275897615140805,0.14576190288978386,-0.8802224606275539,-0.16822192191093455,2.7664330690995436,0.6316978795171201,-0.4361664474192651,-0.02600488727839425,0.1857243467812592,-1.9200526506073172,0.015559418389860068,-0.5573668745809219,0.06453315501941358,-1.7222745731541431,1.718952440609385,-1.071831265628734,0.5727312951046942,0.5894819893390658,-1.54155304833745,-0.8513925205189586,-0.048140156203684545,-1.095842709543619,-0.5993613418349273,-0.6532959674858949,-0.6130870634483022,0.3778741556021211,-0.14766265205876633,-0.1572607220760649,0.880447621223922,-0.4900878040111129,-1.079247154248015,2.1760885032284243,1.2369415085018085,0.7011567477548563,-0.36950756947199787,-0.9266568703508411,1.3221621755438928,-0.3254308912071725,0.11417442492662362,-1.040737167736968,0.5516741871156503,-0.14887012494313587,0.4678537936695302,0.21948440385311288,-0.2885027218475389,-1.6244268784282534,0.5601234181001074,3.47854353339251,0.41224358869257655,0.5846595228153406,-0.5571121857731454,1.3448680099821255,-1.1768374724571216,0.5955150050040025,-0.7663424454175144,0.5556057778791441,0.45894668378177944,0.032140060891571384,-0.8378433879763174,-1.0364037985154124,2.0888599633461338,1.8626075050417132,0.17659649608344954,0.38947911228793564,-1.1619101610845852,1.3102391974091159,-1.274112997571245,-0.8408043391396064,0.4774215584119878,0.17217228780240648,-0.10371204022817125,-1.037143915965982,0.37838443968434204,-1.5415138593534783,0.8564520509002959,-0.43209069887110096,0.9044234033158326,1.8461917617296146,-0.7259342887536802,0.832561629581912,-0.5678931360707922,0.08155301683832346,-0.17108477263121216,-0.9802599023569527,0.6458471300376994,1.8182390678158287,0.32799610450530314,-0.745552748348321,-1.0787048088222686,-0.6103893618110035,-0.7978898526169413,-1.0774909525649778,-0.6726622485539835,-0.4902019071752904,0.3649066851819395,-0.7588397526728838,0.6340203315639021,2.105151135663255,-0.4255766438188509,-1.1445034353624262,-0.6863397885710504,-0.44138459038165684,-0.38164408672386113,1.454055740491452,-0.21690789591600432,-0.20517720375327356,0.41529137073558,0.5192393742225724,-0.5280405134305682
CD4+ memory T-cells,-1.4623742632816792,0.5300771642684348,-0.10966394110266478,-1.2172070937809465,-1.0357584769527595,2.0282560734278943,0.9864778979732798,0.5119281540714704,0.2884427534814413,-0.5416887156808338,-1.7266832787188635,-0.5611882702467367,-0.24596647824187057,0.018497685696467363,-1.1828781793437866,0.07281804527065834,-0.3401266218992171,0.9488847646765324,0.7220764443786901,-1.334011382317501,-0.9886324997248908,-0.6028061275221669,-0.6272367810776769,0.08821358966244218,0.1959800831976053,-0.42561453010729344,0.2974730873547715,0.3948225727237975,0.05041795734342493,-0.8275561119797867,0.03763547807256444,-0.5404657855886794,2.79314936392749,1.1813429925385155,0.7554986045445153,-0.19317888590238294,-0.44633001364963887,1.3014474379936674,-1.067198640332518,-0.0832763863102896,-0.7997266228257608,0.8678294608535583,-0.7095732686683245,1.095158752143831,-0.23779674974208256,-0.8639997792266436,-1.379055202138834,-0.24893481147264682,3.3481003891576417,0.4856056822892924,0.5839536645755988,-0.6587912108913099,1.0623999245045297,-0.6627298751038713,1.2623247400349331,-0.7109033081887278,1.2531454721341224,0.5164174053896995,-0.15235327106437324,-0.9200218636966162,-0.699289512491023,2.4107123082619184,2.459414086321002,0.299868851509844,0.5357394869199851,-0.8941839086626083,0.4949656155302157,-2.203415457791201,-0.17614809132368178,0.3390045992183997,0.2800327237999801,-1.2054992279682264,-0.046673849126063205,0.1631985551899638,-0.39645551353318315,0.8785691636554975,-0.14555166383936968,0.14953731101764958,-0.6606616370458172,-0.1863976219284638,0.5623467529184233,-1.1378509075032925,-0.19556508902311068,-0.4245896389294333,-1.749362717107035,0.39342662243888543,2.0553544848359544,0.11398002068879026,-1.0571128190323393,-0.687718142817841,-1.612465449913415,0.17115533059483243,-0.7823672548036263,-0.11653208846146042,-0.9852032654780237,0.22593728855749048,-0.9046484930521601,0.9693875013790727,2.087873087475724,-1.2299768658946195,-0.0092522501772699,-0.13184553158562584,-0.5847162608630456,0.8449635583673288,1.6947435877477144,-0.11209424082577084,-0.643318031606341,0.2198117214633822,0.8640615539435186,-0.009835895956893447
CD4+ naive T-cells,-1.3557352819986097,0.28744142041048387,-0.05263649015156146,-0.9951038274486024,-0.28996567918886407,2.903761986688706,0.5704669232494767,-0.11325284726824661,0.3009122658020155,0.0022085026054678844,-1.3555197144649929,0.8570596529649253,-0.7302507847095371,-1.162865991136839,-0.5048279713772489,0.5901669570198562,-0.9934518956733549,0.579912132557271,0.48219586682073806,-1.3340802109092877,-0.8544984347352783,-0.7577912952273985,-0.5773127883386631,-1.0419054196979565,-1.0608886138663003,-0.22160821539500777,0.5615286412400968,0.09042685958758208,-0.232400266504393,-0.2971522606607484,-0.282766454632624,-1.2151863539908916,3.7450063243088714,1.2272292083440783,0.437659451137172,-0.28414695929642286,-1.0561443356553355,1.2655508096451153,-0.9854578650589212,0.09770272830856633,-1.136667655085476,0.1553698956447502,-0.1469267658854766,1.4005857336359433,-0.044482391693758866,-0.651854531273224,-1.0800489022421664,0.3774854238080453,3.6735211883363745,-0.1869290561979962,0.340194106616138,-1.2167141549706018,1.261746677747292,-0.9336175462125401,0.4384136084889077,-0.03719912499410504,1.3912704140676995,0.08183231384610923,-0.773142588102092,-1.2694460475065557,-1.3493160447095953,1.7816256192143505,1.6952248697384846,-0.47501212003109466,0.1541555745993053,-0.00546869141248328,-0.27481659951001325,-0.3334776645700285,-0.9774452585011185,0.4512496547835805,0.015314796078638412,-0.20063442301217513,-0.5222966989514303,0.08456539730331865,-0.981466547575225,0.43928522134306874,0.33337824043637965,0.5007460180367674,2.812222678407016,-0.6678530028913874,0.8178801967911177,0.02046388263866486,0.5038794170762583,-0.15130467550067847,-1.6926488426096684,-0.4166269521746063,1.2535292977278827,0.6470848578962013,-0.38781769678034833,-0.8004360433612142,-0.8004361889783729,-0.7941385079808302,0.6173687755111615,-0.23791244244187046,-0.8698150721800791,-0.03980750052329831,-0.3730852383782749,1.05439438537433,1.3809064441032095,0.23014356666266916,0.22063387966790257,-0.2300565107400941,-0.7941523897705495,-0.36880355782662577,1.6742834970227904,-0.26061337047890176,-0.09289286787847469,0.37528629931571567,-0.4398849191516777,-0.41307311313924494
CD8+ T-cells,-1.1729674715106395,-0.10372777589680829,0.10785295281677747,-1.3507896053519324,-0.008020530243171906,1.2827838776910043,1.3741667689627493,-0.28097320315584556,0.06665070170017767,-0.2351881820482353,-1.8658677568144275,0.17057793852918848,-0.946349159905063,-0.23760541736409294,1.6770751342766739,-0.2558986845022293,-0.6268663849750447,0.5930731015913434,0.413093416353737,-1.2826129850935533,-0.17331935412269636,-0.3325409129841306,-0.8637512294284235,-0.5688742028520223,-0.8379948076529892,-0.4985744101028819,0.2450360940070915,-0.07802866907151186,-0.42269391932334444,-0.7099996651191843,0.3854064260159041,-0.8939625262169779,4.742220505406814,1.63928021482676,0.4744505597214466,-0.29304171029909,-0.8878115664815267,0.9681718673824273,-0.9889530248299323,-0.195216168419932,-0.9561431068964739,0.026925645516828273,0.12902706874291867,0.5437350491658883,0.3128506324144637,-0.6383414143699222,-1.0961341510653526,-0.09745556071174534,3.6981778464370048,-0.045418617075496506,0.04172214031425224,-1.2884502599936094,2.1691459939072204,-0.20711175781037508,0.9914987758004173,-0.6435278656847161,1.0166617764603771,0.4380131452491562,-0.9812724210190167,-0.795771180357993,-0.8140060782242953,0.5295869694307029,1.5398420019462342,0.28377906913977136,-0.025180086684764836,-0.5906792156035466,-0.42512444857264714,-0.5263352633725886,0.31914581377319096,0.2972566849219049,-0.016569161861607687,-0.42121410276721216,-0.34839761987866624,-0.25910808688366593,-0.49426694968266727,1.2090027413974738,-0.30186107401417145,0.32964655579885505,0.9729734431047643,0.4226962710871456,0.3476046081666698,-0.31344279524622015,0.0620729359395125,-0.11367793258536855,-2.1010973506215502,-0.44284541927190924,1.7677620966140226,0.4730994051575071,-1.0076549054622466,-0.929933560599121,-1.2798623629110675,-0.32725344226093606,0.015717676719910874,-0.40192480493708593,-1.0798021831648763,0.4799343276345216,-0.6740358969479279,0.7182723621247857,1.8523313789985068,-0.4554524326164399,1.0134380580026159,-0.5352371799761922,-0.7844024325526547,0.0772756167774024,1.9366125775916263,-0.4302016701074964,-0.5557181396855061,0.5846139780681331,0.4092357220715488,-0.6329576725147118
