gene,Uniprot entry,Protein.names,Aliases,localization,cells,cells.1,cells.2,cells.3,cells.4,cells.5,cells.6,cells.7,cells.8,cells.9,cells.10,cells.11,cells.12,cells.13,cells.14,cells.15,cells.16
AHR,P35869,Aryl hydrocarbon receptor (Ah receptor) (AhR) (Class E basic helix-loop-helix protein 76) (bHLHe76),AHR BHLHE76,intracellular,LTI,Th22,NCR+ ILC3,NCR-ILC3,Th17,ILC3,,,,,,,,,,,
ALDH1L1,O75891,Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1),ALDH1L1 FTHFD,,astrocyte,,,,,,,,,,,,,,,,
ARG1,P05089,Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase),ARG1,intracellular,m2c microglia,macrophage,ILC2,,,,,,,,,,,,,,
AXL,P30530,Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (AXL oncogene),AXL UFO,extracellular,tissue associated Mac,,,,,,,,,,,,,,,,
BACH2,Q9BYV9,Transcription regulator protein BACH2 (BTB and CNC homolog 2),BACH2,intracellular,germinal center B,,,,,,,,,,,,,,,,
BATF,Q16520,Basic leucine zipper transcriptional factor ATF-like (B-cell-activating transcription factor) (B-ATF) (SF-HT-activated gene 2 protein) (SFA-2),BATF,intracellular,Tfh,Th22,Th2,Th17,,,,,,,,,,,,,
BATF3,Q9NR55,Basic leucine zipper transcriptional factor ATF-like 3 (B-ATF-3) (21 kDa small nuclear factor isolated from T-cells) (Jun dimerization protein p21SNFT),BATF3 SNFT,intracellular,classical DC,Th17,,,,,,,,,,,,,,,
BTLA,Q7Z6A9,B- and T-lymphocyte attenuator (B- and T-lymphocyte-associated protein) (CD antigen CD272),BTLA,extracellular,follicular Th,,,,,,,,,,,,,,,,
CCL1,P22362,C-C motif chemokine 1 (Small-inducible cytokine A1) (T lymphocyte-secreted protein I-309),CCL1 SCYA1,secreted,M2a,M2b,,,,,,,,,,,,,,,
CCL11,P51671,Eotaxin (C-C motif chemokine 11) (Eosinophil chemotactic protein) (Small-inducible cytokine A11),CCL11 SCYA11,secreted,M1,m1 microglia,,,,,,,,,,,,,,,
CCL14,Q16627,C-C motif chemokine 14 (Chemokine CC-1/CC-3) (HCC-1/HCC-3) (HCC-1(1-74)) (NCC-2) (Small-inducible cytokine A14) [Cleaved into: HCC-1(3-74); HCC-1(4-74); HCC-1(9-74)],CCL14 NCC2 SCYA14,secreted,M2a,,,,,,,,,,,,,,,,
CCL15,Q16663,C-C motif chemokine 15 (Chemokine CC-2) (HCC-2) (Leukotactin-1) (LKN-1) (MIP-1 delta) (Macrophage inflammatory protein 5) (MIP-5) (Mrp-2b) (NCC-3) (Small-inducible cytokine A15) [Cleaved into: CCL15(22-92); CCL15(25-92); CCL15(29-92)],CCL15 MIP5 NCC3 SCYA15,secreted,M1,m1 microglia,,,,,,,,,,,,,,,
CCL16,O15467,C-C motif chemokine 16 (Chemokine CC-4) (HCC-4) (Chemokine LEC) (IL-10-inducible chemokine) (LCC-1) (Liver-expressed chemokine) (Lymphocyte and monocyte chemoattractant) (LMC) (Monotactin-1) (MTN-1) (NCC-4) (Small-inducible cytokine A16),CCL16 ILINCK NCC4 SCYA16,secreted,M2c,m2c microglia,,,,,,,,,,,,,,,
CCL17,Q92583,C-C motif chemokine 17 (CC chemokine TARC) (Small-inducible cytokine A17) (Thymus and activation-regulated chemokine),CCL17 SCYA17 TARC,secreted,M2a,,,,,,,,,,,,,,,,
CCL18,P55774,C-C motif chemokine 18 (Alternative macrophage activation-associated CC chemokine 1) (AMAC-1) (CC chemokine PARC) (Dendritic cell chemokine 1) (DC-CK1) (Macrophage inflammatory protein 4) (MIP-4) (Pulmonary and activation-regulated chemokine) (Small-inducible cytokine A18) [Cleaved into: CCL18(1-68); CCL18(3-69); CCL18(4-69)],CCL18 AMAC1 DCCK1 MIP4 PARC SCYA18,secreted,M2a,m2c microglia,M2c,,,,,,,,,,,,,,
